enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target,experience_numeric,last_new_job_numeric,company_size_numeric,experience_group,city_development_group,training_hours_group,has_relevant_experience_binary,is_currently_enrolled,company_known_flag,education_rank,job_mobility_score,experience_to_training_ratio,city_experience_interaction,low_city_development_flag,high_training_flag,senior_experience_flag,unknown_company_info_flag
29452,city_21,0.624,Unknown,No relevent experience,Full time course,High School,Unknown,2,Unknown,Unknown,never,32,1,2.0,0.0,300.0,Fresher,Medium,Medium,0,1,0,2,2.0,10.666666666666666,1.248,0,0,0,1
23853,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,5000-9999,Pvt Ltd,1,108,0,5.0,1.0,7500.0,Junior,Very High,Very High,1,0,1,3,2.5,18.0,4.6000000000000005,0,1,0,0
25619,city_61,0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,3,23,0,21.0,3.0,3000.0,Expert,Very High,Low,1,0,1,3,5.25,1.0454545454545454,19.173000000000002,0,0,1,0
5826,city_21,0.624,Male,No relevent experience,Unknown,Unknown,Unknown,2,Unknown,Unknown,never,24,0,2.0,0.0,300.0,Fresher,Medium,Medium,0,0,0,0,2.0,8.0,1.248,0,0,0,1
8722,city_21,0.624,Unknown,No relevent experience,Full time course,High School,Unknown,5,Unknown,Unknown,never,26,0,5.0,0.0,300.0,Junior,Medium,Medium,0,1,0,2,5.0,4.333333333333333,3.12,0,0,0,1
6588,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,10-49,Pvt Ltd,>4,18,0,16.0,5.0,30.0,Expert,Very High,Low,1,0,1,3,2.6666666666666665,1.0588235294117647,14.816,0,0,1,0
4167,city_103,0.92,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,1,50-99,Pvt Ltd,never,106,0,1.0,0.0,75.0,Fresher,Very High,Very High,1,0,1,3,1.0,53.0,0.92,0,1,0,0
5764,city_21,0.624,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,2,5000-9999,Pvt Ltd,2,7,0,2.0,2.0,7500.0,Fresher,Medium,Low,1,0,1,3,0.6666666666666666,2.3333333333333335,1.248,0,0,0,0
2156,city_21,0.624,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,never,23,1,7.0,0.0,10000.0,Mid,Medium,Low,1,0,1,3,7.0,2.875,4.368,0,0,0,0
11399,city_13,0.827,Female,Has relevent experience,no_enrollment,Graduate,Arts,4,Unknown,Unknown,1,132,1,4.0,1.0,300.0,Junior,High,Very High,1,0,0,3,2.0,26.4,3.308,0,1,0,1
31972,city_159,0.843,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,1,68,0,11.0,1.0,300.0,Senior,High,High,1,0,1,4,5.5,5.666666666666667,9.273,0,0,1,0
19061,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,2,50,0,11.0,2.0,300.0,Senior,Very High,High,1,0,1,4,3.6666666666666665,4.166666666666667,10.186,0,0,1,0
6491,city_102,0.804,Unknown,Has relevent experience,no_enrollment,Masters,STEM,10,Unknown,Unknown,1,48,0,10.0,1.0,300.0,Mid,High,High,1,0,0,4,5.0,4.363636363636363,8.040000000000001,0,0,1,1
7041,city_40,0.776,Male,Has relevent experience,no_enrollment,Graduate,Humanities,<1,1000-4999,Pvt Ltd,1,65,0,0.5,1.0,3000.0,Fresher,High,High,1,0,1,3,0.25,43.333333333333336,0.388,0,0,0,0
22767,city_21,0.624,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,1,13,0,5.0,1.0,3000.0,Junior,Medium,Low,1,0,1,3,2.5,2.1666666666666665,3.12,0,0,0,0
14505,city_67,0.855,Unknown,No relevent experience,no_enrollment,High School,Unknown,4,Unknown,Unknown,never,22,0,4.0,0.0,300.0,Junior,Very High,Low,0,0,0,2,4.0,4.4,3.42,0,0,0,1
17139,city_21,0.624,Unknown,Has relevent experience,Part time course,Graduate,STEM,14,500-999,Pvt Ltd,1,148,1,14.0,1.0,750.0,Senior,Medium,Very High,1,1,1,3,7.0,9.866666666666667,8.736,0,1,1,0
28476,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,5,Unknown,Unknown,2,72,0,5.0,2.0,300.0,Junior,Very High,High,1,0,0,3,1.6666666666666667,12.0,4.6000000000000005,0,0,0,1
21538,city_100,0.887,Male,Has relevent experience,no_enrollment,High School,Unknown,11,<10,Pvt Ltd,1,8,1,11.0,1.0,5.0,Senior,Very High,Low,1,0,1,2,5.5,0.6666666666666666,9.757,0,0,1,0
10408,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,50-99,Funded Startup,2,68,1,18.0,2.0,75.0,Expert,Medium,High,1,0,1,3,6.0,3.5789473684210527,11.232,0,0,1,0
14928,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,3,40,0,21.0,3.0,300.0,Expert,Very High,Medium,1,0,1,3,5.25,1.8181818181818181,19.32,0,0,1,0
22293,city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,19,5000-9999,Pvt Ltd,>4,141,0,19.0,5.0,7500.0,Expert,Very High,Very High,1,1,1,3,3.1666666666666665,7.05,17.48,0,1,1,0
4324,city_103,0.92,Female,No relevent experience,Full time course,Graduate,STEM,5,Unknown,Unknown,1,24,0,5.0,1.0,300.0,Junior,Very High,Medium,0,1,0,3,2.5,4.0,4.6000000000000005,0,0,0,1
26966,city_160,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,82,0,21.0,5.0,300.0,Expert,Very High,High,1,0,1,3,3.5,3.727272727272727,19.32,0,0,1,0
26494,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,12,5000-9999,Pvt Ltd,3,145,0,12.0,3.0,7500.0,Senior,Very High,Very High,1,0,1,3,3.0,11.153846153846153,10.92,0,1,1,0
4866,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10-49,Early Stage Startup,2,206,0,10.0,2.0,30.0,Mid,Very High,Very High,1,0,1,3,3.3333333333333335,18.727272727272727,9.200000000000001,0,1,1,0
12726,city_114,0.926,Male,No relevent experience,Part time course,High School,Unknown,1,10000+,Other,1,152,0,1.0,1.0,10000.0,Fresher,Very High,Very High,0,1,1,2,0.5,76.0,0.926,0,1,0,0
10164,city_114,0.926,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,4,42,1,21.0,4.0,300.0,Expert,Very High,Medium,1,0,1,5,4.2,1.9090909090909092,19.446,0,0,1,0
8612,city_103,0.92,Unknown,No relevent experience,no_enrollment,Graduate,STEM,12,Unknown,Unknown,4,50,0,12.0,4.0,300.0,Senior,Very High,High,0,0,0,3,2.4,3.8461538461538463,11.040000000000001,0,0,1,1
24659,city_71,0.884,Male,No relevent experience,no_enrollment,Unknown,Unknown,3,Unknown,Unknown,never,106,0,3.0,0.0,300.0,Junior,Very High,Very High,0,0,0,0,3.0,26.5,2.652,0,1,0,1
2547,city_114,0.926,Female,Has relevent experience,Full time course,Masters,STEM,16,1000-4999,Public Sector,2,14,0,16.0,2.0,3000.0,Expert,Very High,Low,1,1,1,4,5.333333333333333,0.8235294117647058,14.816,0,0,1,0
13854,city_104,0.924,Male,Has relevent experience,no_enrollment,High School,Unknown,4,10-49,Pvt Ltd,2,36,0,4.0,2.0,30.0,Junior,Very High,Medium,1,0,1,2,1.3333333333333333,7.2,3.696,0,0,0,0
31654,city_21,0.624,Unknown,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,Early Stage Startup,1,112,1,6.0,1.0,75.0,Mid,Medium,Very High,1,0,1,4,3.0,16.0,3.7439999999999998,0,1,0,0
13643,city_64,0.666,Unknown,No relevent experience,no_enrollment,Graduate,No Major,9,50-99,Pvt Ltd,never,108,0,9.0,0.0,75.0,Mid,Medium,Very High,0,0,1,3,9.0,10.8,5.994000000000001,0,1,0,0
5590,city_21,0.624,Male,Has relevent experience,Part time course,Masters,STEM,9,5000-9999,Pvt Ltd,3,7,1,9.0,3.0,7500.0,Mid,Medium,Low,1,1,1,4,2.25,0.7,5.616,0,0,0,0
22452,city_21,0.624,Female,No relevent experience,Full time course,Masters,STEM,5,Unknown,Unknown,never,26,1,5.0,0.0,300.0,Junior,Medium,Medium,0,1,0,4,5.0,4.333333333333333,3.12,0,0,0,1
9006,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,never,87,1,5.0,0.0,300.0,Junior,Medium,High,1,0,1,3,5.0,14.5,3.12,0,0,0,0
25987,city_103,0.92,Other,Has relevent experience,no_enrollment,Graduate,STEM,19,10000+,Public Sector,4,52,1,19.0,4.0,10000.0,Expert,Very High,High,1,0,1,3,3.8,2.6,17.48,0,0,1,0
4476,city_101,0.558,Male,Has relevent experience,no_enrollment,Graduate,No Major,15,Unknown,Unknown,>4,20,1,15.0,5.0,300.0,Senior,Low,Low,1,0,0,3,2.5,1.25,8.370000000000001,1,0,1,1
25103,city_83,0.923,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,10-49,Pvt Ltd,1,21,0,11.0,1.0,30.0,Senior,Very High,Low,1,0,1,3,5.5,1.75,10.153,0,0,1,0
5568,city_101,0.558,Male,No relevent experience,no_enrollment,Graduate,STEM,4,Unknown,Unknown,1,92,1,4.0,1.0,300.0,Junior,Low,Very High,0,0,0,3,2.0,18.4,2.232,1,0,0,1
2195,city_64,0.666,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,2,102,0,10.0,2.0,300.0,Mid,Medium,Very High,1,0,1,3,3.3333333333333335,9.272727272727273,6.66,0,1,1,0
30533,city_105,0.794,Male,No relevent experience,no_enrollment,Graduate,Humanities,5,10000+,Pvt Ltd,>4,26,0,5.0,5.0,10000.0,Junior,High,Medium,0,0,1,3,0.8333333333333334,4.333333333333333,3.97,0,0,0,0
28512,city_104,0.924,Unknown,Has relevent experience,no_enrollment,Masters,STEM,3,<10,Early Stage Startup,2,7,0,3.0,2.0,5.0,Junior,Very High,Low,1,0,1,4,1.0,1.75,2.7720000000000002,0,0,0,0
1023,city_114,0.926,Male,No relevent experience,Full time course,High School,Unknown,4,10000+,Pvt Ltd,1,43,0,4.0,1.0,10000.0,Junior,Very High,Medium,0,1,1,2,2.0,8.6,3.704,0,0,0,0
12253,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,1,45,0,21.0,1.0,300.0,Expert,Very High,Medium,1,0,1,3,10.5,2.0454545454545454,19.404,0,0,1,0
25296,city_73,0.754,Male,Has relevent experience,Full time course,Graduate,STEM,2,50-99,Early Stage Startup,2,52,0,2.0,2.0,75.0,Fresher,High,High,1,1,1,3,0.6666666666666666,17.333333333333332,1.508,0,0,0,0
13238,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Unknown,Unknown,2,19,0,21.0,2.0,300.0,Expert,Very High,Low,1,0,0,3,7.0,0.8636363636363636,19.32,0,0,1,1
13478,city_21,0.624,Unknown,Has relevent experience,Full time course,Graduate,STEM,2,10-49,Funded Startup,Unknown,32,1,2.0,1.0,30.0,Fresher,Medium,Medium,1,1,1,3,1.0,10.666666666666666,1.248,0,0,0,0
18578,city_162,0.767,Male,Has relevent experience,no_enrollment,Graduate,Humanities,>20,100-500,Pvt Ltd,>4,26,1,21.0,5.0,300.0,Expert,High,Medium,1,0,1,3,3.5,1.1818181818181819,16.107,0,0,1,0
29975,city_67,0.855,Male,Has relevent experience,Part time course,Graduate,STEM,6,Unknown,Unknown,1,90,0,6.0,1.0,300.0,Mid,Very High,Very High,1,1,0,3,3.0,12.857142857142858,5.13,0,0,0,1
26516,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,3,25,0,6.0,3.0,300.0,Mid,Very High,Medium,1,0,1,3,1.5,3.5714285714285716,5.6339999999999995,0,0,0,0
24690,city_41,0.827,Unknown,Has relevent experience,Unknown,Masters,STEM,13,<10,Unknown,1,15,0,13.0,1.0,5.0,Senior,High,Low,1,0,1,4,6.5,1.0714285714285714,10.751,0,0,1,0
8433,city_100,0.887,Male,Has relevent experience,no_enrollment,Masters,Humanities,>20,100-500,Pvt Ltd,>4,48,0,21.0,5.0,300.0,Expert,Very High,High,1,0,1,4,3.5,2.1818181818181817,18.627,0,0,1,0
9572,city_11,0.55,Unknown,No relevent experience,Full time course,High School,Unknown,3,Unknown,Unknown,Unknown,98,0,3.0,1.0,300.0,Junior,Low,Very High,0,1,0,2,1.5,24.5,1.6500000000000001,1,0,0,1
5878,city_93,0.865,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,2,142,1,10.0,2.0,75.0,Mid,Very High,Very High,1,0,1,3,3.3333333333333335,12.909090909090908,8.65,0,1,1,0
25695,city_67,0.855,Other,No relevent experience,no_enrollment,Masters,Humanities,4,10000+,Pvt Ltd,4,13,0,4.0,4.0,10000.0,Junior,Very High,Low,0,0,1,4,0.8,2.6,3.42,0,0,0,0
9645,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,Unknown,Unknown,>4,47,0,15.0,5.0,300.0,Senior,Very High,Medium,1,0,0,3,2.5,2.9375,13.65,0,0,1,1
12730,city_16,0.91,Female,Has relevent experience,no_enrollment,Masters,Humanities,14,500-999,Public Sector,1,28,0,14.0,1.0,750.0,Senior,Very High,Medium,1,0,1,4,7.0,1.8666666666666667,12.74,0,0,1,0
4830,city_90,0.698,Unknown,No relevent experience,Unknown,Unknown,Unknown,2,Unknown,Pvt Ltd,never,228,1,2.0,0.0,300.0,Fresher,Medium,Very High,0,0,0,0,2.0,76.0,1.396,0,1,0,1
20970,city_64,0.666,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Unknown,Unknown,4,22,0,21.0,4.0,300.0,Expert,Medium,Low,1,0,0,3,4.2,1.0,13.986,0,0,1,1
17271,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,<1,Unknown,Unknown,never,18,1,0.5,0.0,300.0,Fresher,Medium,Low,0,1,0,3,0.5,12.0,0.312,0,0,0,1
12731,city_13,0.827,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,10-49,Pvt Ltd,1,29,0,2.0,1.0,30.0,Fresher,High,Medium,1,0,1,3,1.0,9.666666666666666,1.654,0,0,0,0
10908,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,5,100-500,Unknown,1,46,0,5.0,1.0,300.0,Junior,Very High,Medium,1,0,1,4,2.5,7.666666666666667,4.275,0,0,0,0
29117,city_11,0.55,Unknown,No relevent experience,Full time course,Graduate,STEM,<1,Unknown,Unknown,never,12,0,0.5,0.0,300.0,Fresher,Low,Low,0,1,0,3,0.5,8.0,0.275,1,0,0,1
3686,city_103,0.92,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,2,17,0,5.0,2.0,300.0,Junior,Very High,Low,1,0,1,3,1.6666666666666667,2.8333333333333335,4.6000000000000005,0,0,0,0
22683,city_36,0.893,Male,Has relevent experience,no_enrollment,Masters,STEM,5,50-99,Pvt Ltd,2,65,0,5.0,2.0,75.0,Junior,Very High,High,1,0,1,4,1.6666666666666667,10.833333333333334,4.465,0,0,0,0
22134,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,35,0,3.0,1.0,300.0,Junior,Very High,Medium,0,0,1,3,1.5,8.75,2.7600000000000002,0,0,0,0
31765,city_67,0.855,Male,No relevent experience,Full time course,Graduate,STEM,9,10000+,Pvt Ltd,3,14,0,9.0,3.0,10000.0,Mid,Very High,Low,0,1,1,3,2.25,1.4,7.695,0,0,0,0
31449,city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,2,<10,Early Stage Startup,1,4,0,2.0,1.0,5.0,Fresher,Very High,Low,1,0,1,4,1.0,1.3333333333333333,1.84,0,0,0,0
5987,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,12,0,15.0,5.0,75.0,Senior,Very High,Low,1,0,1,3,2.5,0.75,13.8,0,0,1,0
21762,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,108,0,21.0,2.0,75.0,Expert,Very High,Very High,1,0,1,3,7.0,4.909090909090909,19.32,0,1,1,0
22070,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,Unknown,Unknown,1,136,0,21.0,1.0,300.0,Expert,Very High,Very High,0,0,0,3,10.5,6.181818181818182,19.32,0,1,1,1
25413,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10-49,Unknown,1,27,0,5.0,1.0,30.0,Junior,Very High,Medium,1,0,1,3,2.5,4.5,4.6000000000000005,0,0,0,0
5902,city_20,0.796,Unknown,Has relevent experience,Part time course,Masters,STEM,4,50-99,Funded Startup,1,74,0,4.0,1.0,75.0,Junior,High,High,1,1,1,4,2.0,14.8,3.184,0,0,0,0
28403,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,10-49,Early Stage Startup,1,86,0,15.0,1.0,30.0,Senior,Very High,High,1,0,1,3,7.5,5.375,13.26,0,0,1,0
30937,city_57,0.866,Female,No relevent experience,Part time course,Graduate,STEM,<1,10-49,Pvt Ltd,2,83,0,0.5,2.0,30.0,Fresher,Very High,High,0,1,1,3,0.16666666666666666,55.333333333333336,0.433,0,0,0,0
28751,city_103,0.92,Unknown,No relevent experience,Full time course,High School,Unknown,4,Unknown,Unknown,3,75,0,4.0,3.0,300.0,Junior,Very High,High,0,1,0,2,1.0,15.0,3.68,0,0,0,1
29290,city_152,0.698,Male,No relevent experience,Full time course,Masters,STEM,11,Unknown,Public Sector,2,42,0,11.0,2.0,300.0,Senior,Medium,Medium,0,1,0,4,3.6666666666666665,3.5,7.677999999999999,0,0,1,1
32401,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Unknown,1,332,0,6.0,1.0,300.0,Mid,Very High,Very High,1,0,1,3,3.0,47.42857142857143,5.5200000000000005,0,1,0,0
19128,city_61,0.913,Male,No relevent experience,Full time course,Graduate,STEM,4,Unknown,Unknown,Unknown,140,0,4.0,1.0,300.0,Junior,Very High,Very High,0,1,0,3,2.0,28.0,3.652,0,1,0,1
29036,city_16,0.91,Male,No relevent experience,no_enrollment,High School,Unknown,3,Unknown,Unknown,never,182,0,3.0,0.0,300.0,Junior,Very High,Very High,0,0,0,2,3.0,45.5,2.73,0,1,0,1
16869,city_103,0.92,Female,No relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,13,1,3.0,1.0,300.0,Junior,Very High,Low,0,0,1,3,1.5,3.25,2.7600000000000002,0,0,0,0
10497,city_19,0.682,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,5,10-49,Pvt Ltd,2,172,1,5.0,2.0,30.0,Junior,Medium,Very High,1,0,1,3,1.6666666666666667,28.666666666666668,3.41,0,1,0,0
18099,city_103,0.92,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,NGO,1,48,0,10.0,1.0,300.0,Mid,Very High,High,1,0,1,3,5.0,4.363636363636363,9.200000000000001,0,0,1,0
12081,city_65,0.802,Male,Has relevent experience,Full time course,Graduate,STEM,9,50-99,Pvt Ltd,1,33,0,9.0,1.0,75.0,Mid,High,Medium,1,1,1,3,4.5,3.3,7.218,0,0,0,0
7364,city_160,0.92,Unknown,No relevent experience,Full time course,High School,Unknown,2,100-500,Pvt Ltd,1,142,0,2.0,1.0,300.0,Fresher,Very High,Very High,0,1,1,2,1.0,47.333333333333336,1.84,0,1,0,0
11184,city_74,0.579,Unknown,No relevent experience,Full time course,Graduate,STEM,2,100-500,Pvt Ltd,1,34,0,2.0,1.0,300.0,Fresher,Low,Medium,0,1,1,3,1.0,11.333333333333334,1.158,1,0,0,0
7016,city_65,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,2,14,1,6.0,2.0,75.0,Mid,High,Low,1,0,1,3,2.0,2.0,4.812,0,0,0,0
8695,city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10-49,Pvt Ltd,2,27,1,6.0,2.0,30.0,Mid,Low,Medium,1,0,1,3,2.0,3.857142857142857,3.3000000000000003,1,0,0,0
6172,city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,100-500,Pvt Ltd,1,24,1,8.0,1.0,300.0,Mid,Low,Medium,1,0,1,3,4.0,2.6666666666666665,4.4,1,0,0,0
14672,city_173,0.878,Unknown,No relevent experience,no_enrollment,Masters,STEM,>20,Unknown,Unknown,1,150,0,21.0,1.0,300.0,Expert,Very High,Very High,0,0,0,4,10.5,6.818181818181818,18.438,0,1,1,1
18257,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,11,500-999,NGO,>4,20,0,11.0,5.0,750.0,Senior,Very High,Low,1,0,1,3,1.8333333333333333,1.6666666666666667,10.120000000000001,0,0,1,0
24493,city_103,0.92,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,5,500-999,Unknown,1,140,0,5.0,1.0,750.0,Junior,Very High,Very High,1,0,1,3,2.5,23.333333333333332,4.6000000000000005,0,1,0,0
1180,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,5000-9999,Pvt Ltd,1,52,0,12.0,1.0,7500.0,Senior,Very High,High,1,0,1,3,6.0,4.0,10.92,0,0,1,0
28627,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,160,0,21.0,2.0,75.0,Expert,Very High,Very High,1,0,1,3,7.0,7.2727272727272725,19.718999999999998,0,1,1,0
8168,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,9,5000-9999,Pvt Ltd,2,3,0,9.0,2.0,7500.0,Mid,Very High,Low,1,0,1,4,3.0,0.3,8.073,0,0,0,0
10473,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,<10,Pvt Ltd,2,2,1,2.0,2.0,5.0,Fresher,Medium,Low,1,0,1,3,0.6666666666666666,0.6666666666666666,1.248,0,0,0,0
25349,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,28,0,21.0,5.0,3000.0,Expert,Very High,Medium,1,0,1,3,3.5,1.2727272727272727,19.11,0,0,1,0
5220,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,Other,>20,Unknown,Unknown,4,46,0,21.0,4.0,300.0,Expert,High,Medium,1,0,0,3,4.2,2.090909090909091,15.834,0,0,1,1
4789,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,1,210,0,8.0,1.0,75.0,Mid,Very High,Very High,1,0,1,3,4.0,23.333333333333332,6.84,0,1,0,0
11338,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,<10,Pvt Ltd,1,36,0,10.0,1.0,5.0,Mid,Very High,Medium,1,0,1,3,5.0,3.272727272727273,9.26,0,0,1,0
27963,city_98,0.949,Male,No relevent experience,Full time course,Graduate,STEM,4,Unknown,Unknown,1,160,1,4.0,1.0,300.0,Junior,Very High,Very High,0,1,0,3,2.0,32.0,3.796,0,1,0,1
8571,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,2,10-49,NGO,2,101,0,2.0,2.0,30.0,Fresher,Medium,Very High,1,1,1,3,0.6666666666666666,33.666666666666664,1.248,0,1,0,0
16303,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,Unknown,1,46,0,6.0,1.0,75.0,Mid,Very High,Medium,1,0,1,4,3.0,6.571428571428571,5.556,0,0,0,0
20576,city_97,0.925,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,19,0,21.0,5.0,3000.0,Expert,Very High,Low,1,0,1,3,3.5,0.8636363636363636,19.425,0,0,1,0
32966,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,2,26,1,3.0,2.0,300.0,Junior,Medium,Medium,1,0,1,3,1.0,6.5,1.8719999999999999,0,0,0,0
21199,city_90,0.698,Unknown,Has relevent experience,Full time course,Graduate,STEM,7,<10,NGO,1,90,0,7.0,1.0,5.0,Mid,Medium,Very High,1,1,1,3,3.5,11.25,4.885999999999999,0,0,0,0
18819,city_50,0.896,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,4,59,0,9.0,4.0,5.0,Mid,Very High,High,1,0,1,3,1.8,5.9,8.064,0,0,0,0
